Unique Key,Created Date,Closed Date,Agency,Agency Name,Complaint,Complaint Detail,Incident Zip,Status,Community Board,Borough,Latitude,Longitude,Complaint Year,Complaint Month,Month Name,Main Complaint Category,Neighborhood
67345882,,,NYPD,New York City Police Department,Noise - Residential,Loud Talking,11234,Closed,18 BROOKLYN,BROOKLYN,40.631286766133385,-73.92527918930374,,,,Noise,Flatlands
67352758,,,NYPD,New York City Police Department,Illegal Parking,Double Parked Blocking Vehicle,10456,Closed,03 BRONX,BRONX,40.83383016763327,-73.89655401913576,,,,Parking & Traffic,Morrisania
67350584,,,NYPD,New York City Police Department,Noise - Residential,Loud Music/Party,11369,Closed,03 QUEENS,QUEENS,40.75858364486791,-73.87724747823258,,,,Noise,Jackson Heights
67347068,,,NYPD,New York City Police Department,Noise - Residential,Loud Music/Party,10031,Closed,09 MANHATTAN,MANHATTAN,40.825287821475726,-73.9426650656095,,,,Noise,Hamilton Heights-Sugar Hill
67348230,,,NYPD,New York City Police Department,Noise - Residential,Loud Music/Party,11372,Closed,03 QUEENS,QUEENS,40.75121319528184,-73.89004133518971,,,,Noise,Jackson Heights
67344591,,,NYPD,New York City Police Department,Noise - Residential,Loud Music/Party,10467,Closed,11 BRONX,BRONX,40.86314231483986,-73.86359470981839,,,,Noise,Allerton
67344592,,,NYPD,New York City Police Department,Noise - Residential,Loud Music/Party,10468,Closed,07 BRONX,BRONX,40.86240645467484,-73.91109714827905,,,,Noise,University Heights (North)-Fordham
67352779,,,NYPD,New York City Police Department,Blocked Driveway,No Access,11420,Closed,10 QUEENS,QUEENS,40.67408548428756,-73.81011462141402,,,,Parking & Traffic,South Ozone Park
67348236,,,NYPD,New York City Police Department,Noise - Residential,Loud Music/Party,10009,Closed,03 MANHATTAN,MANHATTAN,40.7235527894789,-73.97925917973421,,,,Noise,East Village
67348220,,,NYPD,New York City Police Department,Noise - Residential,Loud Music/Party,11225,Closed,09 BROOKLYN,BROOKLYN,40.67046833272369,-73.95705535853418,,,,Noise,Crown Heights (South)
67348269,,,NYPD,New York City Police Department,Noise - Residential,Loud Music/Party,10024,Closed,07 MANHATTAN,MANHATTAN,40.78644604289875,-73.9801207044641,,,,Noise,Upper West Side (Central)
67350008,,,NYPD,New York City Police Department,Noise - Residential,Loud Music/Party,11385,Closed,05 QUEENS,QUEENS,40.70163638978325,-73.89487653123398,,,,Noise,Ridgewood
67344269,,,NYPD,New York City Police Department,Illegal Parking,Blocked Hydrant,11212,Closed,17 BROOKLYN,BROOKLYN,40.663234146420166,-73.92656984612077,,,,Parking & Traffic,East Flatbush-Remsen Village
67349464,,,NYPD,New York City Police Department,Noise - Residential,Loud Music/Party,11249,Closed,01 BROOKLYN,BROOKLYN,40.70573258854396,-73.96338054284558,,,,Noise,South Williamsburg
67344415,,,NYPD,New York City Police Department,Blocked Driveway,No Access,10467,Closed,07 BRONX,BRONX,40.872347053719814,-73.8800060380295,,,,Parking & Traffic,Norwood
67347070,,,NYPD,New York City Police Department,Noise - Residential,Loud Music/Party,11104,Closed,02 QUEENS,QUEENS,40.74063122647053,-73.92681654227873,,,,Noise,Sunnyside
67348219,,,NYPD,New York City Police Department,Noise - Residential,Loud Music/Party,10462,Closed,11 BRONX,BRONX,40.85555348578415,-73.86382716708287,,,,Noise,Pelham Parkway-Van Nest
67349278,,,NYPD,New York City Police Department,Blocked Driveway,No Access,11206,Closed,01 BROOKLYN,BROOKLYN,40.70803296730773,-73.94364960652972,,,,Parking & Traffic,East Williamsburg
67344613,,,NYPD,New York City Police Department,Noise - Residential,Loud Music/Party,11105,Closed,01 QUEENS,QUEENS,40.77709395604343,-73.90620671591014,,,,Noise,Astoria (North)-Ditmars-Steinway
67353016,,,NYPD,New York City Police Department,Noise - Residential,Loud Music/Party,11223,Closed,15 BROOKLYN,BROOKLYN,40.59382940402653,-73.95997441973788,,,,Noise,Gravesend (East)-Homecrest
67346669,,,NYPD,New York City Police Department,Illegal Parking,Blocked Hydrant,10462,Closed,11 BRONX,BRONX,40.84840836686434,-73.85872365832174,,,,Parking & Traffic,Morris Park
67345795,,,NYPD,New York City Police Department,Noise - Residential,Banging/Pounding,10305,Closed,02 STATEN ISLAND,STATEN ISLAND,40.588663833683576,-74.09559528173874,,,,Noise,Grasmere-Arrochar-South Beach-Dongan Hills
67348206,,,NYPD,New York City Police Department,Noise - Residential,Loud Music/Party,10461,Closed,10 BRONX,BRONX,40.84227615548504,-73.82618384326506,,,,Noise,Throgs Neck-Schuylerville
67352270,,,NYPD,New York City Police Department,Blocked Driveway,No Access,11417,Closed,10 QUEENS,QUEENS,40.67778441881256,-73.83431700275426,,,,Parking & Traffic,South Ozone Park
67351817,,,NYPD,New York City Police Department,Noise - Residential,Loud Music/Party,11249,Closed,01 BROOKLYN,BROOKLYN,40.70573258854396,-73.96338054284558,,,,Noise,South Williamsburg
67347046,,,NYPD,New York City Police Department,Noise - Residential,Loud Music/Party,10465,Closed,10 BRONX,BRONX,40.822975357447085,-73.82440963075618,,,,Noise,Throgs Neck-Schuylerville
67347071,,,NYPD,New York City Police Department,Noise - Residential,Loud Music/Party,11209,Closed,10 BROOKLYN,BROOKLYN,40.61627619547516,-74.03171858392732,,,,Noise,Bay Ridge
67346954,,,NYPD,New York City Police Department,Noise - Residential,Banging/Pounding,11214,Closed,11 BROOKLYN,BROOKLYN,40.60976442772646,-73.99912841830336,,,,Noise,Bensonhurst
67345215,,,NYPD,New York City Police Department,Noise - Residential,Banging/Pounding,11416,Closed,09 QUEENS,QUEENS,40.6899017997052,-73.83760072641891,,,,Noise,Ozone Park (North)
67351589,,,NYPD,New York City Police Department,Blocked Driveway,No Access,11214,Closed,11 BROOKLYN,BROOKLYN,40.600868498932485,-74.00333821728547,,,,Parking & Traffic,Bath Beach
67349190,,,NYPD,New York City Police Department,Illegal Parking,Posted Parking Sign Violation,10459,Closed,03 BRONX,BRONX,40.83207535635764,-73.89551241316109,,,,Parking & Traffic,Crotona Park East
67352362,,,NYPD,New York City Police Department,Noise - Residential,Loud Music/Party,11365,Closed,08 QUEENS,QUEENS,40.73132223199235,-73.79569569493192,,,,Noise,Pomonok-Electchester-Hillcrest
67346452,,,NYPD,New York City Police Department,Illegal Parking,Parking Permit Improper Use,11378,Closed,05 QUEENS,QUEENS,40.71532697453441,-73.9039525080668,,,,Parking & Traffic,Maspeth
